32 | 마이 헤어 레시피 리프레싱 트리트먼트 (지성두피용) | 12,000 | 5 | 4.20 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | () () () 
33 | 마이 헤어 레시피 리페어링 컨디셔너 (극손상모발용) 200mL | 10,000 | 12 | 4.67 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
34 | 마이 헤어레시피 모이스춰라이징 헤어미스트 (건조모발용) | 12,000 | 2 | 5.00 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
35 | 마이 헤어레시피 리페어링 헤어미스트 (극손상모발용) | 12,000 | 9 | 4.89 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
36 | 마이 헤어레시피 컬업 스타일링 세럼 | 12,000 | 3 | 4.67 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
37 | 비비드 오일 틴트 | 10,000 | 30 | 4.80 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | () () () 
38 | 비비드 코튼 잉크 | 9,000 | 27 | 4.22 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
39 | 브라이트 솔루션 마스크 | 3,500 | 9 | 4.56 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
40 | 마이 퍼퓸드 바디 바디 클렌저 (6종 택1) | 12,000 | 26 | 1.77 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
41 | 마이 퍼퓸드 바디 바디 로션 (6종 택1) | 14,000 | 40 | 4.55 | 뷰티포인트 미적립 | 20,000원 이상이면 무료로 배송 | 카드추가혜택(국민/외환/하나카드 즉시할인) 카드 무이자(최대 12개월 무이자) 스마일 페이(결제 시 스마일 캐시 0.5% 적립) 
42 | 19′ 포레스트 포맨 모이스처 크림 80mL | 22,000 | 2 | 4.50 | 뷰티포인트 미적립 |  | () () () 
