46 | 4 | 19′ 이니스프리 미네랄 극세사 팩트 12g (3종 택1) | 15,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 31 | 94.0
47 | 4 | 19 이니스프리 화산송이 코팩 1매 | 500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 10 | 74.0
48 | 4 | 19′ 이니스프리 마이 퍼퓸 스틱 (10종 택1) | 9,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 100.0
49 | 4 | 19´ 이니스프리 리얼 컬러 네일 (48호~75호) | 3,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 11 | 94.0
50 | 4 | [한정] 이니스프리 스페셜 케어 마스크- 팔&발뒤꿈치 5+5 | 15,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 3 | 88.0
51 | 4 | 이니스프리 에코 젤 탑코트 | 3,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 62 | 96.0
52 | 4 | 19 이니스프리 마이 드롭 | 10,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 2 | 80.0
53 | 4 | 이니스프리 노세범 모이스처 파우더 | 8,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 53 | 94.0
54 | 4 | 19′ 이니스프리 올리브 리얼 스킨 200mL+올리브 리얼 로션 160m | 32,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 8 | 88.0
55 | 4 | 이니스프리 링클 사이언스 스팟 트리트먼트 40ml | 35,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 69 | 96.0
56 | 4 | [한정]이니스프리 그린티씨드 에센스인로션 100mL+폼클렌저 50mL | 20,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 1 | 80.0
57 | 4 | 19´ 이니스프리 마이 퍼퓸드 바디 바디 클렌저 330mL (6종 택1) | 12,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 47 | 94.0
58 | 4 | 19 이니스프리 그린티 밸런싱 스킨 200mL | 16,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 74 | 96.0
59 | 4 | 19 이니스프리 리얼 래스팅 아이라이너 | 7,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 21 | 96.0
60 | 4 | 19′ 이니스프리 청보리 클렌징 티슈 50매 | 6,500 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 40 | 90.0
61 | 4 | [한정] 이니스프리 스페셜 케어 마스크- 팔&발뒤꿈치 5+5 | 15,000 | 무이자할부 특별행사 (최대 6개월)  | CJGLS 2/12(수) 도착예정 | null | 3 | 88.0
